timestamp,ip,user_agent,path,method
2025-03-17 09:40:19,152.165.126.50,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",admin/project,POST
2025-03-17 09:40:49,180.46.12.133,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36",article/detail/338,GET
2025-03-17 09:41:21,17.241.219.44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)",article/detail/202,GET
2025-03-17 09:41:36,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 09:42:18,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 09:43:36,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 09:47:36,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 09:49:09,193.186.4.177,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",article/detail/254,GET
2025-03-17 09:49:57,43.143.60.88,"Mozilla/5.0 (Linux; Android 10; LIO-AN00 Build/HUAWEILIO-AN00; wv) MicroMessenger Weixin QQ AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.62 XWEB/2692 MMWEBSDK/200901 Mobile Safari/537.36",/,GET
2025-03-17 09:51:36,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 09:52:36,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 09:53:35,85.208.96.198,Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html),product/detail/299,GET
2025-03-17 09:58:36,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 09:58:51,72.14.201.152,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",company/detail/107/product/detail/361,GET
2025-03-17 09:59:36,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:00:19,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:00:36,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:02:02,40.77.167.64,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",product/detail/802,GET
2025-03-17 10:07:19,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:10:24,192.241.141.174,curl/8.1.2,form.html,GET
2025-03-17 10:11:37,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:13:23,34.86.21.151,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.197 Safari/537.36",article/detail/276,GET
2025-03-17 10:13:54,207.90.244.2,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36",/,GET
2025-03-17 10:16:52,193.186.4.181,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",product/detail/129,GET
2025-03-17 10:18:20,40.77.167.136,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",article/detail/126,GET
2025-03-17 10:19:24,13.83.167.142,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot",article/detail/161,GET
2025-03-17 10:20:37,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:21:37,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:22:31,66.249.79.205,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",product/detail/554,GET
2025-03-17 10:23:31,51.222.253.18,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),product/detail/396,GET
2025-03-17 10:24:20,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:30:20,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:32:27,49.98.167.32,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",article/detail/159,GET
2025-03-17 10:32:35,49.98.167.32,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",apple-touch-icon.png,GET
2025-03-17 10:34:20,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:35:06,20.15.133.175,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",/,GET
2025-03-17 10:36:38,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:39:38,124.110.16.129,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",hankuelogi/estimate-list,GET
2025-03-17 10:40:08,124.110.16.129,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",hankuelogi/list,GET
2025-03-17 10:40:28,124.110.16.129,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",/,GET
2025-03-17 10:42:00,52.167.144.181,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",search,GET
2025-03-17 10:44:38,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:45:21,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:46:21,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:47:31,51.8.102.103,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; +https://openai.com/searchbot",article/detail/169,GET
2025-03-17 10:47:39,172.178.140.144,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot",article/detail/160,GET
2025-03-17 10:48:48,66.249.79.193,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",company/detail/63/product,GET
